Vorname,Name,Straße,Hausnummer,PLZ,Ort,Land,Bestell_Datum,Rechnungs_Liefer_Datum,n,VK ohne Ust,VK mit Ust,VK Gesamt,Stückpreis mit Ust,Stückpreis ohne Ust,Ust. % Satz,ZS Produkt,Zs ohne Ust,Gesamt Ust. Betrag
Harry,Pacholke,Aprikosensteig,28,72666,Neckartailfingen,Germany,03 January 2021,06 January 2021,1,0.0,0.0,0.0,19.99,16.798319327731093,0.19,19.99,16.798319327731093,3.1916806722689053
Thea,Habelitz,KGA Einigkeit II,7,69251,Gaiberg,Germany,04 January 2021,07 January 2021,1,0.0,0.0,0.0,499.99,420.15966386554624,0.19,499.99,420.15966386554624,79.83033613445377
Bettina,Abert,Vogelbeerstraße,47,71157,Hildrizhausen,Germany,05 January 2021,08 January 2021,1,0.0,0.0,0.0,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Kilian,Gabriella,Bärdorfer Zeile,6,72393,Burladingen,Germany,06 January 2021,09 January 2021,2,2.1,2.499,2.499,359.99,302.51260504201684,0.19,719.98,605.0252100840337,114.95478991596632
Katharina,Abate,Genossenschaftsstraße,8,68775,Ketsch,Germany,07 January 2021,10 January 2021,1,1.99,2.3681,2.3681,19.99,16.798319327731093,0.19,19.99,16.798319327731093,3.1916806722689053
Caleb,Cabello,Helbigstraße,65,72417,Jungingen,Germany,08 January 2021,11 January 2021,1,0.0,0.0,0.0,32.99,27.722689075630257,0.19,32.99,27.722689075630257,5.267310924369745
Bente,Kachel,Thomas-Müntzer-Straße,48,69198,Schriesheim,Germany,09 January 2021,12 January 2021,1,1.63,1.9397,1.9397,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Walli,Ibarra,Florian-Geyer-Straße,61,71149,Bondorf,Germany,10 January 2021,13 January 2021,1,5.99,7.1281,7.1281,32.99,27.722689075630257,0.19,32.99,27.722689075630257,5.267310924369745
Allissa,Kablan,Moissistraße,1,68782,Brühl (Baden),Germany,11 January 2021,14 January 2021,3,0.0,0.0,0.0,79.99,67.21848739495798,0.19,239.97,201.65546218487395,38.314537815126045
Erwin,Macek,Albert-Einstein-Straße,51,72362,Nusplingen,Germany,12 January 2021,15 January 2021,2,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,7.98,6.7058823529411775,1.274117647058823
Hafiz,Ebnet,Agavensteig,84,72160,Horb am Neckar,Germany,13 January 2021,16 January 2021,1,0.0,0.0,0.0,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Valentine,Iannuzzi,Adlergestell,47,71131,Jettingen,Germany,14 January 2021,17 January 2021,1,1.4,1.666,1.666,4.69,3.941176470588236,0.19,4.69,3.941176470588236,0.7488235294117644
Edgar,Cakmakci,Rudower Chaussee,25,72654,Neckartenzlingen,Germany,15 January 2021,18 January 2021,1,1.0,1.19,1.19,0.99,0.8319327731092437,0.19,0.99,0.8319327731092437,0.1580672268907562
Iris,Daci,Bodelschwinghstraße,5,68809,Neulußheim,Germany,16 January 2021,19 January 2021,1,1.99,2.3681,2.3681,19.99,16.798319327731093,0.19,19.99,16.798319327731093,3.1916806722689053
Julie,Dähling,Arndtstraße,8,69250,Schönau (Odenwald),Germany,17 January 2021,20 January 2021,1,1.22,1.4518,1.4518,3.59,3.016806722689076,0.19,3.59,3.016806722689076,0.5731932773109243
Yoshi,Jacques,Güldenhofer Ufer,4,72513,Hettingen,Germany,18 January 2021,21 January 2021,1,0.0,0.0,0.0,79.99,67.21848739495798,0.19,79.99,67.21848739495798,12.77151260504202
Lea,Oberheide,Freystadter Weg,6,72359,Dotternhausen,Germany,19 January 2021,22 January 2021,2,0.0,0.0,0.0,15.99,13.436974789915968,0.19,31.98,26.873949579831933,5.106050420168067
Enes,Mach,Am Studio,9,72365,Ratshausen,Germany,20 January 2021,23 January 2021,1,0.0,0.0,0.0,5.99,5.033613445378152,0.19,5.99,5.033613445378152,0.9563865546218482
Fae,Daams,Pfingstberggasse,25,72805,Lichtenstein (Württemberg),Germany,21 January 2021,24 January 2021,1,2.55,3.0345,3.0345,5.99,5.033613445378152,0.19,5.99,5.033613445378152,0.9563865546218482
Oswald,Idelberger,Glienicker Weg,4,71711,Murr,Germany,22 January 2021,25 January 2021,1,1.99,2.3681,2.3681,19.99,16.798319327731093,0.19,19.99,16.798319327731093,3.1916806722689053
Aaliyah,Abdula,Handjerystraße,4,69427,Mudau,Germany,23 January 2021,26 January 2021,1,0.0,0.0,0.0,359.99,302.51260504201684,0.19,359.99,302.51260504201684,57.477394957983165
Rainer,Jaacks,Dörpfeldstraße,25,72172,Sulz am Neckar,Germany,24 January 2021,27 January 2021,2,0.0,0.0,0.0,59.99,50.41176470588236,0.19,119.98,100.82352941176472,19.15647058823529
Jasmin,Dähmlow,Bohrauer Pfad,1,69251,Gaiberg,Germany,25 January 2021,28 January 2021,2,1.01,1.2019,1.2019,19.99,16.798319327731093,0.19,39.98,33.596638655462186,6.383361344537811
Uda,Haberkern,Eschenbachstraße,36,71083,Herrenberg,Germany,26 January 2021,29 January 2021,2,0.0,0.0,0.0,49.99,42.00840336134454,0.19,99.98,84.01680672268908,15.96319327731092
David,Babler,Berberitzenweg,8,71739,Oberriexingen,Germany,27 January 2021,30 January 2021,1,1.99,2.3681,2.3681,2.99,2.512605042016807,0.19,2.99,2.512605042016807,0.4773949579831931
Maximilian,Labenz,Glanzstraße,6,71299,Wimsheim,Germany,28 January 2021,31 January 2021,1,1.55,1.8445,1.8445,15.99,13.436974789915968,0.19,15.99,13.436974789915968,2.5530252100840336
Deenah,Baasch,Vimystraße,1,71409,Schwaikheim,Germany,29 January 2021,01 February 2021,2,0.0,0.0,0.0,99.99,84.02521008403362,0.19,199.98,168.05042016806723,31.92957983193276
Aras,Bachmair,Hoffmannstraße,47,72229,Rohrdorf (Kreis Calw),Germany,30 January 2021,02 February 2021,1,1.99,2.3681,2.3681,99.99,84.02521008403362,0.19,99.99,84.02521008403362,15.964789915966378
Alexandra,Abelmann,Moissistraße,84,71111,Waldenbuch,Germany,31 January 2021,03 February 2021,5,0.0,0.0,0.0,32.99,27.722689075630257,0.19,164.95000000000002,138.61344537815128,26.33655462184873
Lukas,Gackenheimer,Bärdorfer Zeile,29,72477,Schwenningen (Heuberg),Germany,01 February 2021,04 February 2021,1,0.0,0.0,0.0,2.99,2.512605042016807,0.19,2.99,2.512605042016807,0.4773949579831931
Achim,Lachinger,Hauptweg,1,71720,Oberstenfeld,Germany,02 February 2021,05 February 2021,1,0.0,0.0,0.0,89.99,75.6218487394958,0.19,89.99,75.6218487394958,14.368151260504192
Hafiz,Pachler,Pfingstberggasse,9,72660,Beuren bei Nürtingen,Germany,03 February 2021,06 February 2021,1,0.0,0.0,0.0,6.99,5.873949579831933,0.19,6.99,5.873949579831933,1.116050420168067
Jaqueline,Obeng,Arndtstraße,25,72664,Kohlberg (Württemberg),Germany,04 February 2021,07 February 2021,1,0.0,0.0,0.0,59.99,50.41176470588236,0.19,59.99,50.41176470588236,9.578235294117649
Fabienne,Babiel,Frauenlobstraße,25,71711,Steinheim an der Murr,Germany,05 February 2021,08 February 2021,1,0.0,0.0,0.0,2.99,2.512605042016807,0.19,2.99,2.512605042016807,0.4773949579831931
Konstantin,Laar,Frauenlobstraße,26,71149,Bondorf,Germany,06 February 2021,09 February 2021,1,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Paavo,Idler,Köpenicker Straße,2,71726,Benningen am Neckar,Germany,07 February 2021,10 February 2021,2,0.0,0.0,0.0,6.39,5.369747899159663,0.19,12.78,10.739495798319329,2.0405042016806725
Tamy,Habenicht,Gondeker Straße,1,69257,Wiesenbach (Baden),Germany,08 February 2021,11 February 2021,1,0.0,0.0,0.0,99.99,84.02521008403362,0.19,99.99,84.02521008403362,15.964789915966378
Kasper,Gabrys,Genossenschaftsstraße,5,72414,Rangendingen,Germany,09 February 2021,12 February 2021,2,1.35,1.6065,1.6065,79.99,67.21848739495798,0.19,159.98,134.43697478991595,25.54302521008404
Amos,Lach,Neltestraße,3,71679,Asperg,Germany,10 February 2021,13 February 2021,1,0.0,0.0,0.0,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Arielle,Kabjoll,Köpenicker Straße,64,68775,Ketsch,Germany,11 February 2021,14 February 2021,2,0.0,0.0,0.0,49.99,42.00840336134454,0.19,99.98,84.01680672268908,15.96319327731092
Trudi,Habenstein,Hallberger Zeile,1,69259,Wilhelmsfeld,Germany,12 February 2021,15 February 2021,1,1.78,2.1182,2.1182,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Till,Jabri,Thelenstraße,24,72229,Rohrdorf (Kreis Calw),Germany,13 February 2021,16 February 2021,1,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Janis,Oberacher,Florian-Geyer-Straße,5,72669,Unterensingen,Germany,14 February 2021,17 February 2021,1,0.0,0.0,0.0,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Gila,Machleidt,Behringstraße,3,72517,Sigmaringendorf,Germany,15 February 2021,18 February 2021,1,0.0,0.0,0.0,39.99,33.60504201680673,0.19,39.99,33.60504201680673,6.384957983193274
Celia,Oberdorfer,Gellertstraße,5,72226,Simmersfeld,Germany,16 February 2021,19 February 2021,1,1.63,1.9397,1.9397,69.99,58.81512605042017,0.19,69.99,58.81512605042017,11.174873949579826
Chaya,Baartz,Stienitzseestraße,4,71397,Leutenbach (Württemberg),Germany,17 February 2021,20 February 2021,1,0.0,0.0,0.0,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Nabil,Ibsch,Bernstadter Weg,5,71540,Murrhardt,Germany,18 February 2021,21 February 2021,1,1.0,1.19,1.19,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Juni,Oana,Ekkehardstraße,47,72636,Frickenhausen (Württemberg),Germany,19 February 2021,22 February 2021,1,1.01,1.2019,1.2019,12.99,10.915966386554622,0.19,12.99,10.915966386554622,2.074033613445378
Dari,Kadem,Vimystraße,1,69436,Schönbrunn (Baden),Germany,20 February 2021,23 February 2021,3,4.99,5.9381,5.9381,119.99,100.83193277310924,0.19,359.97,302.4957983193277,57.47420168067225
Jessika,Obenauf,Hänselstraße,24,72658,Bempflingen,Germany,21 February 2021,24 February 2021,1,0.0,0.0,0.0,29.99,25.201680672268907,0.19,29.99,25.201680672268907,4.788319327731092
Phlomena,Haala,Thomas-Müntzer-Straße,1,72800,Eningen unter Achalm,Germany,22 February 2021,25 February 2021,1,1.55,1.8445,1.8445,39.99,33.60504201680673,0.19,39.99,33.60504201680673,6.384957983193274
Pardis,Haarhaus,Justus-von-Liebig-Straße,6,72827,Wannweil,Germany,23 February 2021,26 February 2021,1,1.99,2.3681,2.3681,32.99,27.722689075630257,0.19,32.99,27.722689075630257,5.267310924369745
Carsten,Caceres,Friedlander Straße,98,72488,Sigmaringen,Germany,24 February 2021,27 February 2021,1,0.0,0.0,0.0,19.99,16.798319327731093,0.19,19.99,16.798319327731093,3.1916806722689053
Moritz,Saade,Anna-Seghers-Straße,25,72517,Sigmaringendorf,Germany,25 February 2021,28 February 2021,1,2.56,3.0464,3.0464,99.99,84.02521008403362,0.19,99.99,84.02521008403362,15.964789915966378
Altfried,Bachofner,Hackenbergstraße,1,72356,Dautmergen,Germany,26 February 2021,01 March 2021,5,2.56,3.0464,3.0464,9.99,8.394957983193278,0.19,49.95,41.97478991596639,7.975210084033613
Elif,Babatz,Agavensteig,1,71576,Burgstetten,Germany,27 February 2021,02 March 2021,1,3.99,4.7481,4.7481,69.99,58.81512605042017,0.19,69.99,58.81512605042017,11.174873949579826
Mina,Ebenhoch,Nipkowstraße,9,71404,Korb,Germany,28 February 2021,03 March 2021,1,1.99,2.3681,2.3681,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Peter,Labitzke,Königsheideweg,64,71404,Korb,Germany,01 March 2021,04 March 2021,1,1.99,2.3681,2.3681,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Dari,Baatz,Zinsgutstraße,9,71543,Wüstenrot,Germany,02 March 2021,05 March 2021,1,0.0,0.0,0.0,359.99,302.51260504201684,0.19,359.99,302.51260504201684,57.477394957983165
Fiona,Calabro,Vimystraße,58,72661,Grafenberg,Germany,03 March 2021,06 March 2021,1,0.0,0.0,0.0,4.69,3.941176470588236,0.19,4.69,3.941176470588236,0.7488235294117644
Cadmus,Cabral,Moissistraße,64,72474,Winterlingen,Germany,04 March 2021,07 March 2021,1,0.0,0.0,0.0,6.99,5.873949579831933,0.19,6.99,5.873949579831933,1.116050420168067
Franziska,Babic,Ernststraße,27,71706,Markgröningen,Germany,05 March 2021,08 March 2021,1,3.0,3.5700000000000003,3.5700000000000003,32.99,27.722689075630257,0.19,32.99,27.722689075630257,5.267310924369745
Ebbo,Machacek,Ernst-Lau-Straße,64,72369,Zimmern unter der Burg,Germany,06 March 2021,09 March 2021,1,0.0,0.0,0.0,119.99,100.83193277310924,0.19,119.99,100.83193277310924,19.15806722689075
Demian,Maaz,Rosenweg,5,72297,Seewald,Germany,07 March 2021,10 March 2021,1,1.4,1.666,1.666,3.59,3.016806722689076,0.19,3.59,3.016806722689076,0.5731932773109243
Philipp,Babst,Dammweg,2,72135,Dettenhausen,Germany,08 March 2021,11 March 2021,1,0.0,0.0,0.0,32.99,27.722689075630257,0.19,32.99,27.722689075630257,5.267310924369745
Arian,Lacey,Lohnauer Steig,1,71579,Spiegelberg,Germany,09 March 2021,12 March 2021,1,0.0,0.0,0.0,169.99,142.84873949579833,0.19,169.99,142.84873949579833,27.14126050420168
Haku,Ebinger,Magnusstraße,45,72138,Kirchentellinsfurt,Germany,10 March 2021,13 March 2021,1,1.99,2.3681,2.3681,199.99,168.05882352941177,0.19,199.99,168.05882352941177,31.93117647058824
Emily,Kadioglu,Erich-Thilo-Straße,4,71083,Herrenberg,Germany,11 March 2021,14 March 2021,1,0.0,0.0,0.0,169.99,142.84873949579833,0.19,169.99,142.84873949579833,27.14126050420168
Filomae,Daab,Wilhelm-Ostwald-Straße,61,72793,Pfullingen,Germany,12 March 2021,15 March 2021,1,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Mika,Gäng,Hollstraße,8,72582,Grabenstetten,Germany,13 March 2021,16 March 2021,1,0.0,0.0,0.0,119.99,100.83193277310924,0.19,119.99,100.83193277310924,19.15806722689075
Nepomuk,Ickert,Handjerystraße,29,71566,Althütte,Germany,14 March 2021,17 March 2021,1,0.0,0.0,0.0,29.99,25.201680672268907,0.19,29.99,25.201680672268907,4.788319327731092
Aini,Kabbeck,Freystadter Weg,9,68542,Heddesheim,Germany,15 March 2021,18 March 2021,2,0.0,0.0,0.0,79.99,67.21848739495798,0.19,159.98,134.43697478991595,25.54302521008404
Kathrin,Daeschle,Friedenstraße,8,69502,Hemsbach (Bergstraße),Germany,16 March 2021,19 March 2021,1,0.0,0.0,0.0,19.99,16.798319327731093,0.19,19.99,16.798319327731093,3.1916806722689053
Ben,Bachus,Neltestraße,5,72364,Obernheim,Germany,17 March 2021,20 March 2021,1,0.0,0.0,0.0,16.99,14.277310924369749,0.19,16.99,14.277310924369749,2.7126890756302515
Camern,Cacciatore,Freystadter Weg,9,72479,Straßberg,Germany,18 March 2021,21 March 2021,1,0.0,0.0,0.0,119.99,100.83193277310924,0.19,119.99,100.83193277310924,19.15806722689075
Konrad,Gack,Neltestraße,65,72475,Bitz,Germany,19 March 2021,22 March 2021,1,0.0,0.0,0.0,29.99,25.201680672268907,0.19,29.99,25.201680672268907,4.788319327731092
Noah,Labak,Bodelschwinghstraße,8,71277,Rutesheim,Germany,20 March 2021,23 March 2021,1,0.0,0.0,0.0,32.99,27.722689075630257,0.19,32.99,27.722689075630257,5.267310924369745
Cem,Maar,Freystadter Weg,26,72184,Eutingen im Gäu,Germany,21 March 2021,24 March 2021,1,1.54,1.8326,1.8326,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Konstantin,Babin,Heidemühler Weg,8,71726,Benningen am Neckar,Germany,22 March 2021,25 March 2021,2,0.0,0.0,0.0,19.99,16.798319327731093,0.19,39.98,33.596638655462186,6.383361344537811
Pia,Haaken,Steinbachstraße,24,72669,Unterensingen,Germany,23 March 2021,26 March 2021,1,0.0,0.0,0.0,199.99,168.05882352941177,0.19,199.99,168.05882352941177,31.93117647058824
Amos,Bachner,Friedenstraße,25,72348,Rosenfeld,Germany,24 March 2021,27 March 2021,1,0.0,0.0,0.0,69.99,58.81512605042017,0.19,69.99,58.81512605042017,11.174873949579826
Leni,Ebbert,Handjerystraße,61,71157,Hildrizhausen,Germany,25 March 2021,28 March 2021,1,0.0,0.0,0.0,19.99,16.798319327731093,0.19,19.99,16.798319327731093,3.1916806722689053
Yannik,Jacquemin,Glanzstraße,3,72511,Bingen bei Sigmaringen,Germany,26 March 2021,29 March 2021,1,0.0,0.0,0.0,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Kylan,Gabrielli,Friedenstraße,65,72406,Bisingen,Germany,27 March 2021,30 March 2021,1,1.63,1.9397,1.9397,99.99,84.02521008403362,0.19,99.99,84.02521008403362,15.964789915966378
Mina,Obermair,Köpenicker Straße,1,72475,Bitz,Germany,28 March 2021,31 March 2021,1,2.56,3.0464,3.0464,59.99,50.41176470588236,0.19,59.99,50.41176470588236,9.578235294117649
Kaaria,Daeubner,Hoffmannstraße,36,71101,Schönaich,Germany,29 March 2021,01 April 2021,1,0.0,0.0,0.0,59.99,50.41176470588236,0.19,59.99,50.41176470588236,9.578235294117649
Jannis,Gaber,Eschenbachstraße,25,72351,Geislingen (Zollernalbkreis),Germany,30 March 2021,02 April 2021,1,0.0,0.0,0.0,29.99,25.201680672268907,0.19,29.99,25.201680672268907,4.788319327731092
Diego,Maatouk,Otto-Franke-Straße,6,72250,Freudenstadt,Germany,31 March 2021,03 April 2021,1,0.0,0.0,0.0,2.99,2.512605042016807,0.19,2.99,2.512605042016807,0.4773949579831931
Niko,Ibrom,Anna-Seghers-Straße,9,71522,Backnang,Germany,01 April 2021,04 April 2021,1,2.0,2.38,2.38,99.99,84.02521008403362,0.19,99.99,84.02521008403362,15.964789915966378
Julian,Packer,Heidemühler Weg,8,72213,Altensteig,Germany,02 April 2021,05 April 2021,1,1.99,2.3681,2.3681,499.99,420.15966386554624,0.19,499.99,420.15966386554624,79.83033613445377
Jaap,Gabel,Bodelschwinghstraße,24,72297,Seewald,Germany,03 April 2021,06 April 2021,2,0.0,0.0,0.0,5.99,5.033613445378152,0.19,11.98,10.067226890756304,1.9127731092436964
Samo,Padmanabhan,Hohenbirker Weg,8,72356,Dautmergen,Germany,04 April 2021,07 April 2021,1,0.0,0.0,0.0,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Kaisa,Daferner,Altheider Straße,4,71120,Grafenau (Württemberg),Germany,05 April 2021,08 April 2021,1,1.78,2.1182,2.1182,79.99,67.21848739495798,0.19,79.99,67.21848739495798,12.77151260504202
Oliver,Icks,Köpenicker Straße,26,71577,Großerlach,Germany,06 April 2021,09 April 2021,1,0.0,0.0,0.0,1.99,1.6722689075630253,0.19,1.99,1.6722689075630253,0.3177310924369747
Asis,Labus,Hackenbergstraße,25,71566,Althütte,Germany,07 April 2021,10 April 2021,1,2.4,2.856,2.856,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Susanne,Kaatsch,Neltestraße,61,72660,Beuren bei Nürtingen,Germany,08 April 2021,11 April 2021,2,0.0,0.0,0.0,1.99,1.6722689075630253,0.19,3.98,3.3445378151260505,0.6354621848739495
Nadeem,Icke,Gemeinschaftsstraße,98,71560,Sulzbach an der Murr,Germany,09 April 2021,12 April 2021,1,0.0,0.0,0.0,69.99,58.81512605042017,0.19,69.99,58.81512605042017,11.174873949579826
Titus,Jachnik,Carl-Scheele-Straße,6,72336,Balingen,Germany,10 April 2021,13 April 2021,2,2.33,2.7727,2.7727,9.99,8.394957983193278,0.19,19.98,16.789915966386555,3.190084033613445
Elena,Kaas,Husstraße,15,72657,Altenriet,Germany,11 April 2021,14 April 2021,1,0.0,0.0,0.0,6.39,5.369747899159663,0.19,6.39,5.369747899159663,1.0202521008403362
Caecilia,Kadach,Oberspreestraße,1,69253,Heiligkreuzsteinach,Germany,12 April 2021,15 April 2021,1,0.0,0.0,0.0,2.99,2.512605042016807,0.19,2.99,2.512605042016807,0.4773949579831931
Abigail,Abed,Friedlander Straße,6,69502,Hemsbach (Bergstraße),Germany,13 April 2021,16 April 2021,1,1.5,1.785,1.785,69.99,58.81512605042017,0.19,69.99,58.81512605042017,11.174873949579826
Lukas,Jade,Hohenbirker Weg,8,72516,Scheer,Germany,14 April 2021,17 April 2021,1,2.55,3.0345,3.0345,499.99,420.15966386554624,0.19,499.99,420.15966386554624,79.83033613445377
Svea,Haasis,Vimystraße,64,68799,Reilingen,Germany,15 April 2021,18 April 2021,1,0.0,0.0,0.0,12.99,10.915966386554622,0.19,12.99,10.915966386554622,2.074033613445378
Günter,Ebers,Ernst-Lau-Straße,25,71691,Freiberg am Neckar,Germany,16 April 2021,19 April 2021,1,2.0,2.38,2.38,59.99,50.41176470588236,0.19,59.99,50.41176470588236,9.578235294117649
Aaliyah,Kabalan,Friedlander Straße,25,72793,Pfullingen,Germany,17 April 2021,20 April 2021,1,1.22,1.4518,1.4518,119.99,100.83193277310924,0.19,119.99,100.83193277310924,19.15806722689075
Gustav,Paar,Dörpfeldstraße,2,72532,Gomadingen,Germany,18 April 2021,21 April 2021,1,0.0,0.0,0.0,199.99,168.05882352941177,0.19,199.99,168.05882352941177,31.93117647058824
Freya,Laag,Behringstraße,26,71116,Gärtringen,Germany,19 April 2021,22 April 2021,1,0.0,0.0,0.0,149.99,126.0420168067227,0.19,149.99,126.0420168067227,23.94798319327731
Franz,Laan,Felsenfest,24,71144,Steinenbronn,Germany,20 April 2021,23 April 2021,1,0.0,0.0,0.0,19.99,16.798319327731093,0.19,19.99,16.798319327731093,3.1916806722689053
Tilla,Habereder,Baumschulenstraße,2,69437,Neckargerach,Germany,21 April 2021,24 April 2021,2,1.24,1.4756,1.4756,69.99,58.81512605042017,0.19,139.98,117.63025210084034,22.34974789915965
Tino,Jabusch,Waldstraße,1,72296,Schopfloch (Schwarzwald),Germany,22 April 2021,25 April 2021,1,1.78,2.1182,2.1182,69.99,58.81512605042017,0.19,69.99,58.81512605042017,11.174873949579826
Odilia,Haak,Schneckenburgerstraße,12,72666,Neckartailfingen,Germany,23 April 2021,26 April 2021,1,0.0,0.0,0.0,19.99,16.798319327731093,0.19,19.99,16.798319327731093,3.1916806722689053
Milo,Saak,Friedlander Straße,15,72534,Hayingen,Germany,24 April 2021,27 April 2021,1,0.0,0.0,0.0,99.99,84.02521008403362,0.19,99.99,84.02521008403362,15.964789915966378
Elisabeth,Abbe,Friedenstraße,9,69181,Leimen (Baden),Germany,25 April 2021,28 April 2021,1,1.69,2.0111,2.0111,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Kasimir,Iffländer,Rosenweg,9,72131,Ofterdingen,Germany,26 April 2021,29 April 2021,4,1.5,1.785,1.785,6.99,5.873949579831933,0.19,27.96,23.495798319327733,4.464201680672268
Henry,Eberz,Waldstraße,1,71737,Kirchberg an der Murr,Germany,27 April 2021,30 April 2021,1,0.0,0.0,0.0,49.99,42.00840336134454,0.19,49.99,42.00840336134454,7.981596638655461
Paola,Haar,Wünschelburger Gang,6,72813,Sankt Johann (Württemberg),Germany,28 April 2021,01 May 2021,1,1.99,2.3681,2.3681,2.99,2.512605042016807,0.19,2.99,2.512605042016807,0.4773949579831931
Tillmann,Jackel,Am Adlergestell,1,72359,Dotternhausen,Germany,29 April 2021,02 May 2021,1,0.0,0.0,0.0,2.99,2.512605042016807,0.19,2.99,2.512605042016807,0.4773949579831931
Uwe,Jackels,Agavensteig,3,72361,Hausen am Tann,Germany,30 April 2021,03 May 2021,1,0.0,0.0,0.0,0.99,0.8319327731092437,0.19,0.99,0.8319327731092437,0.1580672268907562
Kai,Gabrielle,Florian-Geyer-Straße,51,72401,Haigerloch,Germany,01 May 2021,04 May 2021,1,2.33,2.7727,2.7727,89.99,75.6218487394958,0.19,89.99,75.6218487394958,14.368151260504192
Laureen,Oberlander,Walther-Nernst-Straße,1,72401,Haigerloch,Germany,02 May 2021,05 May 2021,1,1.99,2.3681,2.3681,6.99,5.873949579831933,0.19,6.99,5.873949579831933,1.116050420168067
Diego,Cagli,Schneckenburgerstraße,7,72534,Hayingen,Germany,03 May 2021,06 May 2021,1,0.0,0.0,0.0,359.99,302.51260504201684,0.19,359.99,302.51260504201684,57.477394957983165
Altfried,Lachenmaier,Friedenstraße,8,71696,Möglingen,Germany,04 May 2021,07 May 2021,1,0.0,0.0,0.0,99.99,84.02521008403362,0.19,99.99,84.02521008403362,15.964789915966378
Sascha,Jaber,Ernst-Lau-Straße,58,72186,Empfingen,Germany,05 May 2021,08 May 2021,1,0.0,0.0,0.0,99.99,84.02521008403362,0.19,99.99,84.02521008403362,15.964789915966378
Diminic,Maasz,Walther-Nernst-Straße,23,72227,Egenhausen,Germany,06 May 2021,09 May 2021,1,0.0,0.0,0.0,32.99,27.722689075630257,0.19,32.99,27.722689075630257,5.267310924369745
Aamu,Kablau,Walther-Nernst-Straße,28,68789,Sankt Leon-Rot,Germany,07 May 2021,10 May 2021,1,0.0,0.0,0.0,19.99,16.798319327731093,0.19,19.99,16.798319327731093,3.1916806722689053
Charlotte,Baake,Newtonstraße,1,71292,Friolzheim,Germany,08 May 2021,11 May 2021,2,2.1,2.499,2.499,29.99,25.201680672268907,0.19,59.98,50.40336134453781,9.576638655462183
Arik,Bachnick,Gellertstraße,24,72351,Geislingen (Zollernalbkreis),Germany,09 May 2021,12 May 2021,1,2.99,3.5581000000000005,3.5581000000000005,39.99,33.60504201680673,0.19,39.99,33.60504201680673,6.384957983193274
Gismund,Pablo,Platz der Befreiung,25,72582,Grabenstetten,Germany,10 May 2021,13 May 2021,1,0.0,0.0,0.0,32.99,27.722689075630257,0.19,32.99,27.722689075630257,5.267310924369745
Fabrizius,Machalett,Platz der Befreiung,9,72401,Haigerloch,Germany,11 May 2021,14 May 2021,1,0.0,0.0,0.0,3.99,3.3529411764705888,0.19,3.99,3.3529411764705888,0.6370588235294115
Paulina,Abbate,Florian-Geyer-Straße,65,69168,Wiesloch,Germany,12 May 2021,15 May 2021,1,1.0,1.19,1.19,12.99,10.915966386554622,0.19,12.99,10.915966386554622,2.074033613445378
Olivia,Haager,Rosenweg,61,72664,Kohlberg (Württemberg),Germany,13 May 2021,16 May 2021,2,0.0,0.0,0.0,79.99,67.21848739495798,0.19,159.98,134.43697478991595,25.54302521008404
Tim,Jablonowski,Rudower Chaussee,2,72221,Haiterbach,Germany,14 May 2021,17 May 2021,1,0.0,0.0,0.0,99.99,84.02521008403362,0.19,99.99,84.02521008403362,15.964789915966378
Catrin,Daeschner,Gellertstraße,95,69514,Laudenbach (Bergstraße),Germany,15 May 2021,18 May 2021,2,0.0,0.0,0.0,29.99,25.201680672268907,0.19,59.98,50.40336134453781,9.576638655462183
Tamina,Haben,Frauenlobstraße,2,69256,Mauer (Baden),Germany,16 May 2021,19 May 2021,1,0.0,0.0,0.0,89.99,75.6218487394958,0.19,89.99,75.6218487394958,14.368151260504192
Caspar,Cabezas,Hollstraße,9,72419,Neufra,Germany,17 May 2021,20 May 2021,1,0.0,0.0,0.0,12.99,10.915966386554622,0.19,12.99,10.915966386554622,2.074033613445378
